price_change_pct,customer_response_rate_pct,expected_volume_index
-0.2,10.0,1.1
-0.2,10.0,1.1
-0.2,10.0,1.1
-0.2,10.0,1.1
-0.2,10.0,1.1
-0.2,10.0,1.1
-0.2,10.0,1.1
-0.15,7.5,1.075
-0.15,7.5,1.075
-0.15,7.5,1.075
-0.15,7.5,1.075
-0.15,7.5,1.075
-0.15,7.5,1.075
-0.15,7.5,1.075
-0.1,5.0,1.05
-0.1,5.0,1.05
-0.1,5.0,1.05
-0.1,5.0,1.05
-0.1,5.0,1.05
-0.1,5.0,1.05
-0.1,5.0,1.05
-0.05,2.5,1.025
-0.05,2.5,1.025
-0.05,2.5,1.025
-0.05,2.5,1.025
-0.05,2.5,1.025
-0.05,2.5,1.025
-0.05,2.5,1.025
0.05,-1.938452982459382,0.9806154701754062
0.1,-3.876905964918764,0.9612309403508124
0.15,-5.815358947378135,0.9418464105262186
0.2,-7.753811929837518,0.9224618807016248
