dayofweek,hour,recommended_tariff_inr_kwh
0,0,22.5
0,1,22.5
0,2,22.5
0,3,22.5
0,4,22.5
0,5,22.5
0,6,22.5
0,7,16.5
0,8,16.5
0,9,16.5
0,10,16.5
0,11,16.5
0,12,16.5
0,13,16.5
0,14,16.5
0,15,16.5
0,16,16.5
0,17,16.5
0,18,22.5
0,19,22.5
0,20,22.5
0,21,22.5
0,22,22.5
2,4,22.5
2,5,22.5
2,6,22.5
2,7,16.5
2,8,16.5
2,9,16.5
2,10,11.25
2,11,16.5
2,12,16.5
2,13,11.25
2,14,16.5
2,15,11.25
2,16,11.25
2,17,11.25
2,18,16.5
2,19,22.5
2,20,22.5
2,21,22.5
2,22,22.5
2,23,22.5
3,0,22.5
3,1,22.5
3,2,22.5
3,3,22.5
3,4,22.5
3,5,22.5
3,6,22.5
3,7,16.5
3,8,16.5
3,9,16.5
3,10,11.25
3,11,16.5
3,12,16.5
3,13,16.5
3,14,11.25
3,15,11.25
3,16,11.25
3,17,11.25
3,18,16.5
3,19,22.5
3,20,22.5
3,21,22.5
3,22,22.5
3,23,22.5
4,0,22.5
4,1,22.5
4,2,22.5
4,3,22.5
4,4,22.5
4,5,22.5
4,6,22.5
4,7,16.5
4,8,16.5
4,9,16.5
4,10,11.25
4,11,16.5
4,12,16.5
4,13,16.5
4,14,11.25
4,15,11.25
4,16,11.25
4,17,16.5
4,18,16.5
4,19,22.5
4,20,22.5
4,21,22.5
4,22,22.5
4,23,22.5
5,0,22.5
5,1,22.5
5,2,22.5
5,3,22.5
5,4,22.5
5,5,22.5
5,6,22.5
5,7,22.5
5,8,22.5
5,9,16.5
5,10,16.5
5,11,16.5
5,12,16.5
5,13,16.5
5,14,16.5
5,15,16.5
5,16,16.5
5,17,16.5
5,18,16.5
5,19,16.5
5,20,16.5
5,21,22.5
5,22,22.5
5,23,22.5
6,0,22.5
6,1,22.5
6,2,22.5
6,3,22.5
6,4,22.5
6,5,22.5
6,6,22.5
6,7,22.5
6,8,16.5
6,9,16.5
6,10,16.5
6,11,16.5
6,12,16.5
6,13,16.5
6,14,16.5
6,15,16.5
6,16,16.5
6,17,16.5
6,18,16.5
6,19,22.5
6,20,22.5
6,21,22.5
6,22,22.5
6,23,22.5
