hour,baseline_revenue,dynamic_revenue
0,109653.31902715034,115847.45785853385
1,119915.20775757161,128003.60012868988
2,101890.39671146956,103775.27077992834
3,82618.88567405907,82618.88567405907
4,54076.75782549308,54076.75782549308
5,38408.992513440964,38408.992513440964
6,21240.698084453335,21614.920606120002
7,12434.00701254449,12358.989225985359
8,12317.880716845715,12420.745916845715
9,5352.716030465923,5496.012925089577
10,2549.724614695328,2570.9779566308102
11,21788.713841442637,21843.741041442638
12,10653.394183333334,11086.517157
13,55737.34868024191,55737.34868024191
14,161873.1567566303,161873.1567566303
15,351805.2419703373,352371.074445728
16,273645.3787751336,274656.1517461013
17,142312.31455949796,144513.32198231158
18,80354.58350456982,80354.58350456982
19,84387.78449722184,85536.37216949066
20,79641.5070486111,80931.8337235215
21,60552.15221774177,61502.274796953236
22,63263.9925826163,65201.523889784745
23,78945.59390788568,84440.89268646635
