hour,baseline_revenue,dynamic_revenue,revenue_gain_pct
0,109653.31902715034,133812.29695101868,22.032144706797737
1,119915.20775757161,145844.24091636296,21.622806350976912
2,101890.39671146956,122825.54009555966,20.54672870042274
3,82618.88567405907,103693.81537580698,25.50861044639468
4,54076.75782549308,69818.97857689677,29.110881244404847
5,38408.992513440964,49425.64035992813,28.68247023827029
6,21240.698084453335,27690.052269416727,30.363193146104056
7,12434.00701254449,15593.676563373092,25.411514949612428
8,12317.880716845715,14288.018581211654,15.994130075245927
9,5352.716030465923,5799.573097525076,8.348230403327731
10,2549.724614695328,2858.915389309932,12.126438001680027
11,21788.713841442637,23670.529770778172,8.636654476393542
12,10653.394183333334,11404.30393704254,7.048549418024576
13,55737.34868024191,58879.47296950108,5.637376666918882
14,161873.1567566303,164866.620309025,1.8492649506398573
15,351805.2419703373,343731.83841666084,-2.2948502724007613
16,273645.3787751336,267465.70569720725,-2.258277887091395
17,142312.31455949796,145204.17770641955,2.032054046673916
18,80354.58350456982,89670.85978596617,11.593957525604655
19,84387.78449722184,103718.03234002397,22.90645258430562
20,79641.5070486111,99000.5334695025,24.3077098090009
21,60552.15221774177,77498.94530628108,27.987102799582903
22,63263.9925826163,79684.23287645764,25.95511225820625
23,78945.59390788568,97119.93755119323,23.02135273630789
