KPI,Value
Baseline Revenue INR,2025419.748493453
Dynamic Pricing Revenue INR,2253565.938312469
Revenue Gain %,11.26414364176688
Average Tariff Change %,25.23168211214081
Customer Response Rate %,5.8375
Pricing Efficiency Score,0.4464285651548724
Pricing Efficiency INR per adjusted kWh,17.22886169800186
Average Idle Time Hours,2.689698152224668
Waiting Time Reduction %,24.777621143672945
Charger Utilization Rate Before,52.4769
Charger Utilization Rate After,55.909
Utilization Improvement %,6.5401
Off-Peak Uplift %,2.092148598107877
