dayofweek,hour,recommended_tariff_inr_kwh,predicted_utilization,expected_utilization_after_pricing
0,0,15.51610530030375,0.3382720167725244,0.3324181224287632
0,1,15.500878022643668,0.3348387604396441,0.3291540848978015
0,2,15.478714473416899,0.3272296748623422,0.3218112390284013
0,3,15.471335193795182,0.3239348959279173,0.3186213990383057
0,4,15.476161276999607,0.32564298289162136,0.32026213305649154
0,5,15.488356608884546,0.3291297763597744,0.3235748532214981
0,6,15.39961188109671,0.30199541680860537,0.2974130149163974
0,7,15.2674642639878,0.26532056611847743,0.2620995763421578
0,8,15.19005914257445,0.25065065653259805,0.24819051457972802
0,9,15.154695249460747,0.2476995104138199,0.24537521355453643
0,10,15.167717118906715,0.2463501670811138,0.24388037523775255
0,11,15.23830634007901,0.2644497334352847,0.2613897507920488
0,12,15.249464044441586,0.27178911636641745,0.2686254808185459
0,13,15.187935658663509,0.25401320712743286,0.2513703547677575
0,14,15.15272181710579,0.24162379372628126,0.23936739768885137
0,15,15.141147998026872,0.24043003205978342,0.2382125715224987
0,16,15.163346944027987,0.24357452343829927,0.24122639799806408
0,17,15.193930100838557,0.2504862322966394,0.2479694050187527
0,18,15.353318784731298,0.2830431025920031,0.27939617925548726
0,19,15.449808241261664,0.30368779758273456,0.29906729729616194
0,20,15.485387409770034,0.31264115987389796,0.30758024067286815
0,21,15.478193576142713,0.3153318599279734,0.310129509994739
0,22,15.493603176982724,0.3223263935699244,0.31683350892353634
2,4,15.540732976490792,0.3426088956078786,0.3366271457440603
2,5,15.52719636545703,0.33994385895002116,0.33405830106569484
2,6,15.44902842181345,0.312482519701896,0.3075789503568659
2,7,15.295637466403358,0.2685148720506961,0.26522849320211617
2,8,15.193487147586255,0.24833538047431702,0.24600557836238784
2,9,15.13109012593261,0.2405835176365949,0.23843541149808326
2,10,15.122649845581535,0.23701313433621551,0.23483598264927677
2,11,15.16363404116344,0.24657057458130616,0.24409249946807351
2,12,15.193424412888183,0.25214265705376393,0.24939937397539785
2,13,15.118931275013495,0.23330570245699514,0.23112569642682565
2,14,15.222890069318012,0.25272851461832885,0.2500249810791417
2,15,15.143642703966261,0.2376619675689558,0.23546149420678106
2,16,15.085722255175337,0.2241912616980234,0.22236491307858794
2,17,15.111749690960158,0.23235091893067678,0.23038708056368915
2,18,15.266003664805622,0.26072745206485154,0.2577773237912769
2,19,15.369159544553233,0.28729350063701453,0.2833691876661695
2,20,15.442940631032126,0.3005652419186185,0.2958927921418936
2,21,15.471119813675735,0.31304552915876166,0.3078005258772559
2,22,15.523748123623,0.3293873607804481,0.32357280802944083
2,23,15.644732383571597,0.36730389473230807,0.36016641339061384
3,0,15.572266483751019,0.35039812275457044,0.34389355871398564
3,1,15.567428611474648,0.34576638830196643,0.33943018991203183
3,2,15.575689473305127,0.34407451241804093,0.3377628005639294
3,3,15.585989675570085,0.34742710668719934,0.34107248268839574
3,4,15.538608543143027,0.33763344227786685,0.33164975507685934
3,5,15.552539213633224,0.34079548307892255,0.3346569646568429
3,6,15.45115664778012,0.3126889595028083,0.3077643658812576
3,7,15.293545845355213,0.2749404695884542,0.27155927732054347
3,8,15.211893803108433,0.251041993162931,0.2485897583040245
3,9,15.12380036394109,0.24067568877922982,0.23854830944958827
3,10,15.104325820279646,0.23617417506417754,0.2340760611189999
3,11,15.146545897087641,0.2494874442420748,0.24710157224213256
3,12,15.197297465033248,0.25830720816304176,0.25548880438516686
3,13,15.148596936042907,0.24030834103595036,0.2378624337182388
3,14,15.121258799266684,0.2355534816912058,0.23341186035309858
3,15,15.095401170190382,0.23069711102555138,0.22872313237129424
3,16,15.12376742012643,0.23189221597957013,0.22974850886561995
3,17,15.141158655197495,0.23619058586624384,0.23394278140173627
3,18,15.315285233594139,0.2681171852507783,0.26476848107521195
3,19,15.485902573273153,0.30403739795065526,0.2992400325099593
3,20,15.445804345538269,0.29848276484375624,0.29387218625611505
3,21,15.482714723792029,0.3099821794352031,0.30487939153445964
3,22,15.52335520041238,0.32385763712846233,0.3182554189092367
3,23,15.609098824042736,0.35021058958674683,0.3435852724814195
4,0,15.606108106069671,0.35402989284490155,0.34736220951458185
4,1,15.595330966684038,0.3490127688969239,0.34251466555970395
4,2,15.596503756485992,0.34700049853916426,0.3405198513191112
4,3,15.589649904698746,0.3433291858440423,0.3369652622417186
4,4,15.58920296526581,0.3448318716144419,0.33843380535781964
4,5,15.613771167709391,0.34957559619091333,0.34286986315308804
4,6,15.517324077932305,0.32007378679734183,0.3145975831311119
4,7,15.345926629724351,0.27855092819435423,0.2748411467019813
4,8,15.27019249284437,0.26166846929553034,0.2586976781808258
4,9,15.186701648026286,0.2538510691112878,0.25122784360978184
4,10,15.119004181528615,0.23665961627615176,0.23449413629663754
4,11,15.166481347667082,0.25042289001120543,0.24790307866767355
4,12,15.218292459719294,0.2621074475643672,0.25906709156656466
4,13,15.15565586952514,0.24189157738465353,0.23931253127732052
4,14,15.105333990124867,0.2317265352265167,0.22961439752693583
4,15,15.099716635265775,0.23401423087680412,0.23197794190900148
4,16,15.119277004906275,0.23798272671146384,0.2358529267569108
4,17,15.160029903246935,0.2441061941944154,0.24172345305803644
4,18,15.281279580352813,0.2643398638093416,0.2613386907903564
4,19,15.407202381064065,0.2851691229540632,0.2810889410640115
4,20,15.422087246105688,0.29542300568502483,0.29100959118732783
4,21,15.445530358584834,0.3053856687643283,0.3005802029873306
4,22,15.478805751693121,0.3218100576009102,0.3164375353050694
4,23,15.565738590716112,0.34699153119017734,0.3405743578451632
5,0,15.561117260742442,0.353554695437032,0.3470910935216392
5,1,15.551009710161212,0.35013320313235863,0.34382236398436655
5,2,15.551845856293705,0.35005897644909484,0.3437794630574221
5,3,15.541896181058496,0.34882416064376887,0.34261331075212875
5,4,15.548517834296554,0.3496232527207685,0.3433637895081266
5,5,15.54333378641081,0.3515417192904376,0.3452145517790354
5,6,15.496006929341737,0.33268608953380097,0.327047998412774
5,7,15.438858857247896,0.30853395680162327,0.3036855774235636
5,8,15.395645336745247,0.29331841371836526,0.2891526380515222
5,9,15.33974414573702,0.27274245784315204,0.269164365715506
5,10,15.230964838652861,0.2540745448366775,0.2513443127516177
5,11,15.237137784078863,0.2622278239060508,0.2593545270269814
5,12,15.260472295301863,0.2669222778372591,0.2638705431237821
5,13,15.214781568097813,0.2500259029731335,0.24727711359549565
5,14,15.17753788000794,0.24294394341133171,0.24054618307568462
5,15,15.184045117886017,0.24328067657828992,0.24087191533086005
5,16,15.186284787265093,0.24890868401026878,0.24639747183553626
5,17,15.198492687500943,0.25061652696496267,0.24802479169541217
5,18,15.270112834145573,0.265652676346041,0.2625126570181957
5,19,15.319554804027286,0.2753041148877133,0.2716465702898219
5,20,15.37761067787442,0.2871533079983322,0.28301443939871285
5,21,15.390875352472,0.29402791372481185,0.2897189622600866
5,22,15.430408857261705,0.30524003940500266,0.30052775820032535
5,23,15.505921902715496,0.33012374653373083,0.3245061252554054
6,0,15.522640137097614,0.3387842009646811,0.3328923037220198
6,1,15.530299592197634,0.33662185232811426,0.3307224992529061
6,2,15.522634435775444,0.334456578931882,0.3286289626580124
6,3,15.501787392270872,0.3304344383434075,0.32480442036049584
6,4,15.496435888397043,0.332089837872492,0.32643050851675276
6,5,15.505854259744394,0.33482020528440865,0.3290718290453547
6,6,15.456643173403709,0.3164933938315359,0.3113810519497895
6,7,15.381677017665641,0.29675955929804226,0.2924550255110266
6,8,15.33101895809988,0.28096703988861543,0.27727869061809207
6,9,15.25221144216918,0.25979765828006984,0.25678273598609136
6,10,15.21224561970563,0.24985329868997727,0.2472058786441612
6,11,15.24029655063806,0.25922264139166173,0.2563646930094916
6,12,15.244606178049517,0.26146295708308803,0.2584716477571672
6,13,15.197767347406804,0.24519790360879481,0.24251120494558692
6,14,15.20097072752291,0.24457754061504536,0.24196342476924435
6,15,15.211879450807679,0.2496202009926382,0.24692938839999426
6,16,15.203994174616467,0.2519638676544567,0.24925057218752283
6,17,15.234942095491645,0.25866697789576176,0.25569610054810643
6,18,15.323712537102285,0.2808321402429852,0.277131433513928
6,19,15.365683341520315,0.2920540649612046,0.28791438329937485
6,20,15.347263929066525,0.29165788871646503,0.2875823496976337
6,21,15.363789822590517,0.2982981334082703,0.2940071868118973
6,22,15.422757972679971,0.3079734490427445,0.3031974922606261
6,23,15.498253789825483,0.3295118038103815,0.32388792467008914
